iter	Recall	Logloss
172	0.5184824903	0.163174417
173	0.5223735409	0.1613683642
174	0.5262645914	0.1606439383
175	0.5272373541	0.1604589051
176	0.530155642	0.1591476512
177	0.5359922179	0.1585972765
178	0.5359922179	0.1580991285
179	0.5408560311	0.1576024865
180	0.5428015564	0.1566570387
181	0.5447470817	0.1563564156
182	0.5515564202	0.1548939415
183	0.5544747082	0.1546841722
184	0.560311284	0.1539253747
185	0.563229572	0.1534815516
186	0.5593385214	0.1526773078
187	0.560311284	0.1525318753
188	0.563229572	0.1517097695
189	0.5651750973	0.1512569704
190	0.5690661479	0.150028645
191	0.5719844358	0.1489690786
192	0.5729571984	0.1487382373
193	0.5758754864	0.1481529759
194	0.5787937743	0.1475026159
195	0.5836575875	0.1468554047
196	0.5846303502	0.1468131202
197	0.5894941634	0.1456228494
198	0.5904669261	0.145406244
199	0.5924124514	0.1447574975
200	0.593385214	0.1447089203
201	0.5943579767	0.1439685593
202	0.5953307393	0.1434193564
203	0.6031128405	0.1425869901
204	0.6031128405	0.1421182166
205	0.6079766537	0.1415254898
206	0.6079766537	0.1412105952
207	0.6079766537	0.140777667
208	0.6118677043	0.1397344191
209	0.6167315175	0.1395496822
210	0.6186770428	0.1385806019
211	0.623540856	0.1378290789
212	0.623540856	0.137512011
213	0.623540856	0.1367680564
214	0.6293774319	0.1347886078
215	0.6303501946	0.1344303399
216	0.6332684825	0.1343439434
217	0.6352140078	0.1339958822
218	0.6332684825	0.1334541439
219	0.6361867704	0.1325675216
220	0.6381322957	0.1321432033
221	0.640077821	0.1316228593
222	0.6478599222	0.1308991661
223	0.6517509728	0.1303027958
224	0.6517509728	0.1297737004
225	0.656614786	0.1287746985
226	0.656614786	0.127840991
227	0.6624513619	0.1267660024
228	0.6643968872	0.1265819377
229	0.6663424125	0.1260882567
230	0.6692607004	0.1254688233
231	0.6741245136	0.1251050055
232	0.6741245136	0.1249827403
233	0.6741245136	0.1249397556
234	0.6809338521	0.1242964665
235	0.6770428016	0.1234614773
236	0.6789883268	0.1230042454
237	0.6780155642	0.1226119958
238	0.6809338521	0.1224720684
239	0.6838521401	0.1217269997
240	0.6828793774	0.1212749487
241	0.6828793774	0.1211567507
242	0.6848249027	0.1206802406
243	0.6906614786	0.120042347
244	0.6945525292	0.1195269272
245	0.6926070039	0.1186107722
246	0.6935797665	0.1180825177
247	0.6945525292	0.1179195025
248	0.6964980545	0.1175321904
249	0.7052529183	0.1170105641
250	0.7013618677	0.1166720065
251	0.7023346304	0.116537324
252	0.7003891051	0.1162478926
253	0.7023346304	0.115727276
254	0.7052529183	0.1154100675
255	0.7062256809	0.1153654457
256	0.7071984436	0.1150534399
257	0.7130350195	0.1144845254
258	0.7159533074	0.1141352189
259	0.71692607	0.1139489033
260	0.7159533074	0.1138021355
261	0.719844358	0.1133777466
262	0.7237354086	0.113135091
263	0.7178988327	0.112690491
264	0.7227626459	0.1122724468
265	0.7256809339	0.1115327305
266	0.7295719844	0.111212775
267	0.7315175097	0.1107069592
268	0.7305447471	0.1100891688
269	0.7354085603	0.1094273626
270	0.7383268482	0.1090858213
271	0.75	0.1084276289
272	0.75	0.1083009943
273	0.7490272374	0.1079364548
274	0.7519455253	0.1071873168
275	0.7558365759	0.1065062191
276	0.7587548638	0.106177639
277	0.7568093385	0.1060762208
278	0.7568093385	0.1056068394
279	0.7616731518	0.1053337205
280	0.7587548638	0.1050845252
281	0.7616731518	0.1043162608
282	0.766536965	0.103788118
283	0.7645914397	0.1035618632
284	0.7675097276	0.1033807115
285	0.7684824903	0.1028540312
286	0.7694552529	0.1026976876
287	0.7694552529	0.1026556173
288	0.7714007782	0.1024462269
289	0.7752918288	0.1022616249
290	0.7752918288	0.1019794902
291	0.7772373541	0.1014876195
292	0.7811284047	0.1009129483
293	0.780155642	0.100305512
294	0.7821011673	0.1001190546
295	0.7821011673	0.09954424295
296	0.7821011673	0.0993204618
297	0.78307393	0.09916038803
298	0.7821011673	0.09861681135
299	0.7791828794	0.09816082278
